"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Threshold Efforts","Bike","Warm Up: 10 mins in low Z2, 5 x (15 secs in Z4 + 45 secs in low Z2). Main Set: 5 mins in upper Z4 + 2 mins recovery in low Z2, 6 mins in upper Z4 + 2 mins recovery in low Z2, 7 mins in upper Z4 + 2 mins recovery in low Z2, 6 mins in upper Z4 + 2 mins recovery in low Z2, 5 mins in upper Z4 + 2 mins recovery in low Z2. Warm Down: 5 mins in upper Z2, 5 mins in low Z2.","1.06666666666667","","2021-01-19","These sessions will gradually improve your thresholds on the bike. They will develop your power, economy and skill. Over time, they boost your body’s ability to pedal harder and faster.","36676.03125","223","419","856.442"," *19/01/2021 bruvio . : dura!!*","1.06724119186401","9.54599952697754","","71","","138","158","","","0.85390575652993","77.22","39","4","16","5","0","","","","","","2","34","8","16","4","0","0","","","","9","9"
"Cycling","Bike","","","","2021-01-19","","12006.0302734375","207","517","400.035","","0.545648336410522","6.11199998855591","","63","","135","156","","","0.825575714219624","36.76","17","9","5","0","0","","","","","","2","8","9","4","1","2","1","","","","",""
"powerdot","Other","Stretching Muskelketten komplett bearbeiten Beispielsweise - Wade + Oberschenkelrückseite - Oberschenkelvorderseite + Hüftbeuger ----- Faszienrolle - mit erhöhtem Gewicht nur in Richtung Herz (Körpermitte) rollen, zurück Gewicht raus - Intensität durch Körpergewicht kontrollieren - Muskelketten komplett bearbeiten","","","2021-01-20","","","","","","","0.833333333333333","","","","","70","72","","","0.521583089292172","25","","","","","","","","","","","","","","","","","","","","","",""
"Medio Indoor (soglia+medio) 4 serie","Bike","Lo scopo dell'allenamento è ottimizzare la ""clearance"" del lattato, ovvero migliorare la capacità delle cellule muscolari di riutilizzare e metabolizzare il lattato.","1","","2021-01-20","DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","31248.560546875","232","372","861.282","","1.0326247215271","8.4060001373291","","71","","138","157","","","0.850733111489308","74","28","11","20","2","0","","","","","","0","27","15","16","3","0","0","","","","",""
"Cycling","Bike","","","","2021-01-20","","12118.580078125","203","497","400.684","","0.550426661968231","6.11600017547607","","60","","134","159","","","0.803400367537423","35.09","19","8","4","1","0","","","","","","2","9","9","3","2","2","0","","","","",""
"Long run prog","Run","","1.73111111111111","22940","2021-01-21","","23003.779296875","316","421","2024.642","","1.77882611751556","3.59200000762939","","89","","146","168","","","0.899476036206955","143.11","3","66","27","9","1","","","","","","6","57","37","8","0","","","","","","",""
"Base Phase 2: Strength and Conditioning #2 (powerdot)","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 16 (Exercise 1) 2. Squat Jump: 3 x 8 (Exercise 2) 3. Step Up: 3 x 9 (Exercise 7) 4. Push Up: 3 x 12 (Exercise 13) 5. Lat & Front Raise Combo: 3 x 7 (Exercise 11) 6. Dumbbell Pullover: 3 x 10 (Exercise 15) 7. Glute Bridge: 3 x 14 (Exercise 18) 8. Lying Hip Abduction: 3 x 12 (Exercise 20) 9. Reverse Crunch: 3 x 14 (Exercise 28) Flexibility: 5-10 minutes Notes: 1. 3 x 12 = 3 sets of 12 repetitions with a rest between sets. 2. Rests are 30-50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","","","2021-01-21","Base Phase: Here your strength workouts are designed to build a foundation that can be used for power development. The goal is to translate strength training into sport-specific activity. Resistance during the Base Phase: Progress the intensity during this phase by gradually adding resistance. Maintain correct form throughout. Sets should feel challenging but not 'all out'. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","","","","","","1.33333333333333","","","","","75","76","","","0.518527748900582","40","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-01-21","","12100.5595703125","199","477","376.792","","0.528358578681946","6.36199998855591","","63","","131","147","","","0.766459174464106","31.01","26","5","0","0","0","","","","","","2","9","9","3","1","2","0","","","","",""
"8km facile","Run","","0.726111111111111","8000","2021-01-22","","7959.5","299","377","702.434","","0.651994168758392","3.39100003242493","","89","","135","153","","","0.84740650107359","46.36","27","10","1","0","0","","","","","","7","28","5","0","0","","","","","","",""
"3h base FL con Z3 e rilanci","Bike","","3.16666666666667","","2021-01-23","INDICAZIONI NUTRIZIONALI https://drive.google.com/open?id=1BQ2O7Sn_zXXGItH3OuB16vuzDNWyBEKr ------------------------------------------- DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","75375.171875","214","578","1710.79","","2.2230441570282","9.41800022125244","","70","","128","146","","","0.759338678046216","127.46","116","17","0","0","0","","","","","","2","77","46","5","1","1","0","","","","",""
"10x200m Intervalle","Run","","0.869166666666667","10000","2021-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4x15 min Ironmanpace","Bike","","2.33333333333333","","2021-01-24","","86345.2578125","213","354","1913.975","","2.50140070915222","9.58899974822998","","72","","129","147","","","0.759452924363068","143.51","130","20","0","0","0","","","","","","4","86","52","7","0","0","0","","","","",""
"Base Phase 3 Week 2","Other","","","","2021-01-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ruhetag","Day Off","","","","2021-01-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13x400m intensiv / 200m TP (HIIT)","Run","","1.11527777777778","13800","2021-01-25","","14049.4501953125","294","444","1224.337","","1.15628278255463","3.375","","86","","148","174","","","0.911881506720216","95.87","15","26","6","7","13","","","","","","4","27","5","13","6","","","","","","8","5"
"Pool Swim: Speed Endurance","Swim","Warm Up: 1 x (100 FS in Z2 + 100 Kick in Z2 + 5 secs rest), 1 x (100 Drill in Z2 + 100 Pull in Z2 + 5 secs rest). Main Set: 3 x (100 Pull in Z2 + 100 FS in Z3 + 5 sec rests), 3 x (100 Pull in Z2 + 100 FS in Z4 + 10 sec rests), 3 x (100 Pull in Z2 + 100 FS in Z5 + 15 sec rests). Warm Down: 2 x (50 FS in Z2 + 50 Choice in Z2).","0.695277777777778","2400","2021-01-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-01-25","","12046.9404296875","195","564","380.542","","0.546868622303009","6.11899995803833","","61","","139","156","","","0.790075933485159","33.94","13","11","8","1","0","","","","","","1","8","9","4","2","2","0","","","","",""
"12/11/10min low Z4 Threshold Bike Efforts","Bike","Warm Up: 5 mins in Z2, 5 x (15 secs in upper Z3 + 45 secs in Z2). Main Set: 12 mins in low Z4 + 60 secs recovery in Z1, 11 mins in low Z4 + 60 secs recovery in Z1, 10 mins in low Z4. Warm Down: 5 mins in Z2.","0.833333333333333","","2021-01-26","","25545.080078125","237","348","739.483","","0.868642807006836","8.16899967193604","","70","","139","155","","","0.864700604905075","64.25","21","10","21","0","0","","","","","","2","17","6","25","1","0","0","","","","",""
"Cycling","Bike","","","","2021-01-26","","12532.3203125","204","460","413.581","","0.568582475185394","6.1230001449585","","60","","134","154","","","0.794399753653381","35.84","20","10","4","0","0","","","","","","2","7","9","3","3","2","0","","","","",""
"Base Phase 3: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 16 (Exercise 1) 2. Alternate Lunge: 3 x 10 (Exercise 5) 3. Squat Jump: 3 x 10 (Exercise 2) 4. Bench Press: 3 x 10 (Exercise 14) 5. Tricep Kickback: 3 x 10 (Exercise 16) 6. Bent Over Row: 3 x 10 (Exercise 12) 7. Spider Climber: 3 x 8 (Exercise 25) 8. Bicycle Crunch: 3 x 10 (Exercise 26) 9. Plank: 3 reps (Exercise 21) Flexibility: 5-10 minutes Notes: 1. 3 x 12 = 3 sets of 12 repetitions with a rest between sets. 2. Rests are 30-50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2021-01-26","Base Phase: Here your strength workouts are designed to build a foundation that can be used for power development. The goal is to translate strength training into sport-specific activity. Resistance during the Base Phase: Progress the intensity during this phase by gradually adding resistance. Maintain correct form throughout. Sets should feel challenging but not 'all out'. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.558485805988312","0","","","","79","124","","","0.543483951599044","18","3","0","0","0","0","","","","","","","","","","","","","","","","",""
"Long run 5x(Z2/Z3)","Run","Wechsel zwischen Z2 und Z3","1.73972222222222","22168","2021-01-27","","21515.9296875","312","420","1887.45","","1.68056452274323","3.55599999427795","","89","","149","164","","","0.890740330602101","132.15","8","35","32","25","0","","","","","","13","42","42","3","0","","","","","","",""
"Pool Swim: Endurance/Technique","Swim","Warm Up: 1 x (100 Pull in Z2 + 100 Drill in Z2 + 5 secs rest), 1 x (100 Drill in Z2 + 100 Pull in Z2 + 5 secs rest). Main Set: 2 x (200 Pull in Z2 + 100 Drill in Z2 + 5 sec rests), 1 x (50 Kick in Z2 + 50 Kick in Z4 + 10 secs rest), 2 x (200 Drill in Z2 + 100 Pull in Z2 + 5 sec rests), 1 x (50 Kick in Z2 + 50 Kick in Z4 + 10 secs rest). Warm Down: 1 x (50 Breast in Z2 + 50 FS in Z2), 1 x (50 Back in Z2 + 50 FS in Z2), 1 x (100 Choice in Z2).","0.618888888888889","2100","2021-01-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-01-27","","12472.4296875","194","515","380.003","","0.549002230167389","6.31099987030029","","62","","130","148","","","0.753454106743758","31.69","26","6","0","0","0","","","","","","3","9","8","2","2","3","0","","","","",""
"Rest Day","Day Off","","","","2021-01-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Medio Indoor 5'","Bike","","1.03333333333333","","2021-01-28","DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","33280.71875","210","351","783.633","","1.03458249568939","8.93599987030029","","73","","134","150","","","0.783039930736271","62.9","34","17","12","0","0","","","","","","8","26","16","11","1","0","0","","","","",""
"Base Phase 3: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 16 (Exercise 1) 2. Squat Jump: 3 x 10 (Exercise 2) 3. Step Up: 3 x 10 (Exercise 7) 4. Push Up: 3 x 12 (Exercise 13) 5. Lat & Front Raise Combo: 3 x 7 (Exercise 11) 6. Dumbbell Pullover: 3 x 10 (Exercise 15) 7. Glute Bridge: 3 x 14 (Exercise 18) 8. Lying Hip Abduction: 3 x 12 (Exercise 20) 9. Side Plank: 3 reps (Exercise 23) Flexibility: 5-10 minutes Notes: 1. 3 x 12 = 3 sets of 12 repetitions with a rest between sets. 2. Rests are 30-50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.833333333333333","","2021-01-29","Base Phase: Here your strength workouts are designed to build a foundation that can be used for power development. The goal is to translate strength training into sport-specific activity. Resistance during the Base Phase: Progress the intensity during this phase by gradually adding resistance. Maintain correct form throughout. Sets should feel challenging but not 'all out'. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.896171689033508","0","","","","69","119","","","0.530977817681595","27.92","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"Run Fondo 10k","Run","","0.740833333333333","10000","2021-01-29","INDICAZIONI NUTRIZIONALI https://drive.google.com/open?id=1BQ2O7Sn_zXXGItH3OuB16vuzDNWyBEKr ------------------------------------------- DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","10876.9501953125","316","391","961.217","","0.845104157924652","3.57500004768372","","89","","145","152","","","0.893436399429378","66.77","3","29","19","0","0","","","","","","0","32","18","0","0","","","","","","",""
"Pool Swim: Aerobic Endurance","Swim","Warm Up: 2 x (100 FS Breathe every 3 in Z2 + 5 sec rests), 2 x (100 Pull in Z2 + 100 Drill in Z2 + 5 sec rests), 2 x (100 FS Breathe every 5 in Z2 + 5 sec rests). Main Set: 2 x (400 FS in Z2 + 50 FS in Z4 + 5 sec rests), 2 x (200 Pull in Z2 + 100 FS in Z3 + 5 sec rests), 2 x (100 FS in Z2 + 50 FS in Z4 + 5 sec rests), 1 x (100 Pull in Z2 + 100 FS in Z4 + 5 secs rest). Warm Down: 1 x (200 Choice in Z2).","0.875555555555556","3000","2021-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIDEO: Halfway!","Custom","Congratulations, you're halfway through your plan, check Phil's short message below: https://bit.ly/Halfway-Through-Training If you have questions check our Help Center: https://myprocoach-help.zendesk.com/hc/en-us. Or you're welcome to email our coaching team: info@myprocoach.net.","","","2021-01-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3h base FL con Z3 e rilanci","Bike","","3.4","","2021-01-30","INDICAZIONI NUTRIZIONALI https://drive.google.com/open?id=1BQ2O7Sn_zXXGItH3OuB16vuzDNWyBEKr ------------------------------------------- DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","98722.3125","204","489","2283.55","","3.10494875907898","8.83263062539143","","70","","128","147","","","0.724177394054014","162.09","178","8","0","0","0","","","","","","6","134","39","4","1","1","0","","","","",""
"35 min run off the bike","Run","","0.593055555555556","8000","2021-01-31","INDICAZIONI NUTRIZIONALI https://drive.google.com/open?id=1BQ2O7Sn_zXXGItH3OuB16vuzDNWyBEKr ------------------------------------------- DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","7435.18017578125","311","414","660.31","","0.588784992694855","3.50799989700317","","89","","145","158","","","0.881668203952003","45.13","1","21","13","1","0","","","","","","1","24","10","0","0","","","","","","",""
"6x(Z3/Z2)","Bike","","2.46666666666667","","2021-01-31","","75374.1328125","210","464","1878.051","","2.48250317573547","8.43299961090088","","71","","128","142","","","0.75383214838035","140.29","144","4","0","0","0","","","","","","8","74","60","5","0","0","0","","","","6","5"
"Base Phase 3 Week 3","Other","","","","2021-02-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5x1000m vo2max","Run","optional ABC vor den Intervallen","0.989722222222222","12500","2021-02-01","","14376.5703125","306","440","1264.687","","1.14667558670044","3.48300004005432","","88","","142","168","","","0.909679764442445","94.38","35","15","4","11","4","","","","","","7","31","5","16","2","","","","","","",""
"Pool Swim: Speed Endurance","Swim","Warm Up: 2 x (100 FS in Z2 + 100 Drill in Z2 + 5 sec rests), 2 x (50 Pull in Z2 + 50 Pull in Z4 + 10 sec rests). Main Set: 3 x (200 FS in Z3 + 10 sec rests), 5 x (100 FS in Z4 + 10 sec rests), 8 x (50 FS in Z5 + 15 sec rests). Warm Down: 2 x (50 FS in Z2 + 50 Back in Z2 + 5 sec rests), 1 x (100 Choice in Z2).","0.717222222222222","2400","2021-02-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Powerdotj","Other","","","","2021-02-01","","","","","","","0.583333333333333","","","","","68","69","","","0.523913726169308","17.5","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-01","","12792.9404296875","182","476","381.165","","0.587413311004639","6.05000019073486","","61","","127","145","","","0.741128116592646","32.21","31","3","0","0","0","","","","","","4","9","8","2","2","2","0","","","","",""
"Base Phase 3: Strength and Conditioning #1","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 16 (Exercise 1) 2. Alternate Lunge: 3 x 10 (Exercise 5) 3. Squat Jump: 3 x 10 (Exercise 2) 4. Bench Press: 3 x 10 (Exercise 14) 5. Tricep Kickback: 3 x 10 (Exercise 16) 6. Bent Over Row: 3 x 10 (Exercise 12) 7. Spider Climber: 3 x 8 (Exercise 25) 8. Bicycle Crunch: 3 x 10 (Exercise 26) 9. Plank: 3 reps (Exercise 21) Flexibility: 5-10 minutes Notes: 1. 3 x 12 = 3 sets of 12 repetitions with a rest between sets. 2. Rests are 30-50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.333333333333333","","2021-02-02","Base Phase: Here your strength workouts are designed to build a foundation that can be used for power development. The goal is to translate strength training into sport-specific activity. Resistance during the Base Phase: Progress the intensity during this phase by gradually adding resistance. Maintain correct form throughout. Sets should feel challenging but not 'all out'. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","0","","","","","0.387824445962906","0","","","","81","118","","","0.549014457329462","12.64","2","0","0","0","0","","","","","","","","","","","","","","","","",""
"Z4 intervals","Bike","Turbo or road Make sure all the intervals are performed in TT position. Don't worry if your power is lower than on the road bike, it's about getting used to effort in the position.","0.916666666666667","","2021-02-02","","30000","222","467","769.821","","0.963058888912201","8.65298418328919","","70","","135","157","","","0.843033645996288","67.82","30","15","12","1","0","","","","","","12","12","10","20","2","1","0","","","","",""
"Cycling","Bike","","","","2021-02-02","","12509.650390625","196","587","400.27","","0.570908069610596","6.08699989318848","","60","","130","150","","","0.765629263589764","33.35","29","4","1","0","0","","","","","","2","11","10","3","2","1","0","","","","",""
"Long run prog","Run","","1.87444444444444","24940","2021-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pool Swim: Endurance/Technique","Swim","Warm Up: 1 x (200 FS in Z2 Breathe every 3 + 5 secs rest), 1 x (200 Pull in Z2 Breathe every 5 + 5 secs rest), 1 x (200 FS in Z2 Breathe every 3 + 5 secs rest). Main Set: 4 x (100 Drill in Z2 + 100 FS in Z3 + 10 sec rests). Warm Down: 2 x (50 Back in Z2 + 50 Breast in Z2 + 5 sec rests), 2 x (50 Pull in Z2 + 50 Drill in Z2 + 5 sec rests), 1 x (200 FS in Z2).","0.594166666666667","2000","2021-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-03","","27696.509765625","203","577","861.77","","1.18361806869507","6.5","","61","","129","154","","","0.804315488176242","76.42","58","9","2","0","0","","","","","","8","22","19","6","2","3","1","","","","",""
"Rest Day","Day Off","","","","2021-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endurance 3x(10' Z3/Z5) indoor","Bike","","1.2","","2021-02-04","INDICAZIONI NUTRIZIONALI https://drive.google.com/open?id=1BQ2O7Sn_zXXGItH3OuB16vuzDNWyBEKr ------------------------------------------- DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Base Phase 3: Strength and Conditioning #2","Strength","Please check the link below for full exercise instructions, progressions, alternatives and videos: https://www.myprocoach.net/wp-content/uploads/SC-Triathlon.pdf Whole Body Strength: 1. Squat: 3 x 16 (Exercise 1) 2. Squat Jump: 3 x 10 (Exercise 2) 3. Step Up: 3 x 10 (Exercise 7) 4. Push Up: 3 x 12 (Exercise 13) 5. Lat & Front Raise Combo: 3 x 7 (Exercise 11) 6. Dumbbell Pullover: 3 x 10 (Exercise 15) 7. Glute Bridge: 3 x 14 (Exercise 18) 8. Lying Hip Abduction: 3 x 12 (Exercise 20) 9. Side Plank: 3 reps (Exercise 23) Flexibility: 5-10 minutes Notes: 1. 3 x 12 = 3 sets of 12 repetitions with a rest between sets. 2. Rests are 30-50 secs. 3. When an exercise alternates right and left, the right PLUS left movement is 1 rep. 4. For unilateral exercises, perform reps on the right, then repeat on the left. Then move to next set. 5. Breathe out on exertion and maintain form throughout. 6. For flexibility see the link below or choose stretches that work well for you.","0.666666666666667","","2021-02-04","Base Phase: Here your strength workouts are designed to build a foundation that can be used for power development. The goal is to translate strength training into sport-specific activity. Resistance during the Base Phase: Progress the intensity during this phase by gradually adding resistance. Maintain correct form throughout. Sets should feel challenging but not 'all out'. Perform strength and conditioning once or twice each week. Avoid the ‘no pain, no gain’ thinking. Strength will compliment your training making you more powerful, less prone to injury and help you focus on range of movement required for all three disciplines. It should not inhibit your subsequent workouts.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Soglia 3min/2min/1min","Run","","1.25","","2021-02-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pool Swim: Aerobic Endurance","Swim","Warm Up: 1 x (100 FS in Z2 + 100 Pull in Z2 + 5 secs rest), 1 x (200 FS in Z2 + 200 Drill in Z2 + 5 secs rest), 2 x (100 FS in Z2 + 100 Drill in Z2 + 5 sec rests). Main Set: 1 x (400 Pull in Z2 + 10 secs rest), 4 x (100 FS in Z3 + 5 sec rests), 3 x (200 Pull in Z2 + 5 sec rests), 3 x (200 FS in Z3 + 5 sec rests). Warm Down: 2 x (50 Back in Z2 + 50 Breast in Z2) + 5 secs rest, 1 x (100 Pull in Z2 + 100 Choice in Z2).","0.993888888888889","3400","2021-02-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Black-Roll & Stretching","Other","","0.333333333333333","","2021-02-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-05","","5364.64990234375","205","583","158.448","","0.216213330626488","6.89200019836426","","63","","","","","","0.802650475341911","13.83","","","","","","","","","","","1","2","3","2","1","1","0","","","","",""
"Cycling","Bike","","","","2021-02-05","","5311.419921875","208","452","187.81","","0.25384721159935","5.81199979782104","","59","","","","","","0.809496712910338","16.48","","","","","","","","","","","1","2","6","2","1","1","0","","","","",""
"3h base FL con Z3 e rilanci","Bike","","3.56666666666667","","2021-02-06","INDICAZIONI NUTRIZIONALI https://drive.google.com/open?id=1BQ2O7Sn_zXXGItH3OuB16vuzDNWyBEKr ------------------------------------------- DA ESEGUIRE DOPO ALLENAMENTO Flessibilmente versione completa http://vimeo.com/109963333 Flessibilmente versione ridotta http://vimeo.com/109942721","100137.7265625","215","484","2622.801","","3.37509703636169","8.24100017547607","","71","","132","155","","","0.80199496697657","216.32","149","47","6","0","0","","","","","","26","83","48","27","10","4","0","","","","",""
"4x15 min Z3","Bike","","2.33333333333333","","2021-02-07","","68501.4921875","214","344","1703.259","","2.2110230922699","8.60599994659424","","74","","131","142","","","0.760541374702893","127.57","125","8","0","0","0","","","","","","2","73","52","5","0","0","0","","","","",""
"powerdot","Other","","","","2021-02-07","","","","","","","0.633333333333333","","","","","66","70","","","0.523375432037491","19","","","","","","","","","","","","","","","","","","","","","",""
"Base Phase 3 Week 4. Active Recovery","Other","","","","2021-02-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dauerlauf 60'","Run","","1","12310","2021-02-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mobility","Other","Suche dir 2-3 Übungen aus meinem Mobilityprogramm aus. Ergänzen kannst du das Programm mit 2-3 freien Übungen bei denen du an deinen Schwachstellen trainierst. https://www.ocr-coach.com/training/","0.5","","2021-02-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pool Swim: Recovery","Swim","Warm Up: 1 x (100 FS in Z2 + 100 Drill in Z2 + 5 secs rest), 2 x (50 Breast in Z2 + 50 Back in Z2 + 5 sec rests). Main Set: 1 x (100 FS in Z2 + 200 Pull in Z2 + 15 secs rest), 1 x (300 FS in Z2 + 400 Pull in Z2 + 15 secs rest), 1 x (400 FS in Z2 + 300 Pull in Z2 + 15 secs rest), 1 x (200 FS in Z2 + 100 Pull in Z2 + 15 secs rest). Warm Down: 1 x (100 Choice in Z2).","0.745277777777778","2500","2021-02-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6x1000m vo2max","Run","","1.09138888888889","13900","2021-02-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fitness Test: FTP and Threshold HR","Bike","This fitness test helps you to set your power or heart rate thresholds for Training Peaks. Warm Up: 12 mins in Z2, 5 x (15 secs in Z4 + 45 secs easy in Z2). Main Set: 20 mins maximal steady state time trial. Go as hard as you can sustain for 20-minutes. Warm Down: 5 mins in Z2. NOTES: 1/ Alternatively, if you have a bike training device with its own ""FTP"" test protocol, you could use that instead. 2/ If using a smart trainer (for example a Wahoo Kickr), DO NOT use ERG mode for this test. https://myprocoach-help.zendesk.com/hc/en-us/articles/360022308391-Erg-Mode-On-or-Off- TIP: Have a fan and/or air conditioning, so that heat stress is not a limiting factor for this test.","0.7","","2021-02-09","FUNCTIONAL THRESHOLD POWER (FTP) Take your average power for the 20-minute test and multiply it by 95% for your FTP. THRESHOLD HEART RATE (THR) Take your average HR for the 20-minute test and reduce by 6 beats, this is your bike THR. ENTER THRESHOLDS AND ZONES Check this article and short video to enter your thresholds and training zones into your TrainingPeaks settings: https://bit.ly/EnterBikeZones RATE OF PERCEIVED EXERTION (RPE) To ride to feel (RPE), complete the test and note the distance. Use this to track progress in future tests. Click this link for more details of this fitness test: https://myprocoach-help.zendesk.com/hc/en-us/articles/360001077251-Bike-Field-Test-FTP-Threshold-HR","6819.0498046875","217","434","250.739","","0.320555567741394","5.90899991989136","","76","","135","167","","","0.876694222524784","24.03","13","1","2","3","1","","","","","","3","8","2","2","2","1","0","","","","",""
